block_type,subject,k,cluster,hit_rate,fa_rate,accuracy,response_rate
full_sentence,2242025001,2,1,0.5066666666666667,0.5466666666666666,0.47333333333333333,0.5306666666666666
full_sentence,2262025001,2,1,0.5466666666666666,0.49333333333333335,0.5266666666666666,0.5232
full_sentence,3032025001,2,1,0.44,0.38666666666666666,0.52,0.41679999999999995
full_sentence,3032025002,2,1,0.49333333333333335,0.48,0.5066666666666667,0.4893333333333334
full_sentence,3062025001,2,0,0.5866666666666667,0.48,0.5466666666666666,0.5358333333333334
full_sentence,3062025002,2,1,0.26666666666666666,0.17333333333333334,0.5466666666666666,0.22320000000000004
full_sentence,3102025001,2,0,0.56,0.4533333333333333,0.5466666666666666,0.5091666666666667
full_sentence,3102025002,2,0,0.5466666666666666,0.4666666666666667,0.5333333333333333,0.5101449275362319
full_sentence,3132025001,2,0,0.44,0.49333333333333335,0.47333333333333333,0.47040000000000004
full_sentence,3132026002,2,1,0.44,0.4533333333333333,0.4866666666666667,0.4504
full_sentence,3172026001,2,1,0.38666666666666666,0.3466666666666667,0.5133333333333333,0.3694444444444444
full_sentence,3192026001,2,0,0.6133333333333333,0.5466666666666666,0.5333333333333333,0.5832
full_sentence,3202026001,2,1,0.49333333333333335,0.41333333333333333,0.54,0.45626666666666665
full_sentence,3202026002,2,1,0.52,0.4,0.56,0.46346666666666664
full_sentence,3292026001,2,1,0.5066666666666667,0.6133333333333333,0.44,0.5634782608695652
full_sentence,4032026001,2,1,0.44,0.49333333333333335,0.4666666666666667,0.4701333333333333
full_sentence,4042026001,2,1,0.52,0.44,0.5333333333333333,0.4848
full_sentence,4042026002,2,0,0.5066666666666667,0.4,0.5466666666666666,0.45653333333333335
full_sentence,4042026003,2,0,0.5066666666666667,0.5866666666666667,0.46,0.5493333333333333
full_sentence,4062026001,2,0,0.44,0.4666666666666667,0.4866666666666667,0.45626666666666665
full_sentence,4142026001,2,0,0.41333333333333333,0.36,0.52,0.3898666666666667
full_sentence,4142026002,2,1,0.5333333333333333,0.4533333333333333,0.5333333333333333,0.4957333333333333
full_sentence,4182026001,2,0,0.4266666666666667,0.37333333333333335,0.52,0.40347826086956523
full_sentence,4182026002,2,1,0.4666666666666667,0.4266666666666667,0.5133333333333333,0.4506666666666666
full_sentence,4192026001,2,0,0.64,0.48,0.5733333333333334,0.5627777777777778
full_sentence,4192026002,2,1,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
full_sentence,2242025001,3,0,0.5066666666666667,0.5466666666666666,0.47333333333333333,0.5306666666666666
full_sentence,2262025001,3,1,0.5466666666666666,0.49333333333333335,0.5266666666666666,0.5232
full_sentence,3032025001,3,1,0.44,0.38666666666666666,0.52,0.41679999999999995
full_sentence,3032025002,3,1,0.49333333333333335,0.48,0.5066666666666667,0.4893333333333334
full_sentence,3062025001,3,2,0.5866666666666667,0.48,0.5466666666666666,0.5358333333333334
full_sentence,3062025002,3,1,0.26666666666666666,0.17333333333333334,0.5466666666666666,0.22320000000000004
full_sentence,3102025001,3,2,0.56,0.4533333333333333,0.5466666666666666,0.5091666666666667
full_sentence,3102025002,3,2,0.5466666666666666,0.4666666666666667,0.5333333333333333,0.5101449275362319
full_sentence,3132025001,3,0,0.44,0.49333333333333335,0.47333333333333333,0.47040000000000004
full_sentence,3132026002,3,1,0.44,0.4533333333333333,0.4866666666666667,0.4504
full_sentence,3172026001,3,1,0.38666666666666666,0.3466666666666667,0.5133333333333333,0.3694444444444444
full_sentence,3192026001,3,2,0.6133333333333333,0.5466666666666666,0.5333333333333333,0.5832
full_sentence,3202026001,3,1,0.49333333333333335,0.41333333333333333,0.54,0.45626666666666665
full_sentence,3202026002,3,1,0.52,0.4,0.56,0.46346666666666664
full_sentence,3292026001,3,0,0.5066666666666667,0.6133333333333333,0.44,0.5634782608695652
full_sentence,4032026001,3,1,0.44,0.49333333333333335,0.4666666666666667,0.4701333333333333
full_sentence,4042026001,3,1,0.52,0.44,0.5333333333333333,0.4848
full_sentence,4042026002,3,2,0.5066666666666667,0.4,0.5466666666666666,0.45653333333333335
full_sentence,4042026003,3,2,0.5066666666666667,0.5866666666666667,0.46,0.5493333333333333
full_sentence,4062026001,3,2,0.44,0.4666666666666667,0.4866666666666667,0.45626666666666665
full_sentence,4142026001,3,0,0.41333333333333333,0.36,0.52,0.3898666666666667
full_sentence,4142026002,3,1,0.5333333333333333,0.4533333333333333,0.5333333333333333,0.4957333333333333
full_sentence,4182026001,3,2,0.4266666666666667,0.37333333333333335,0.52,0.40347826086956523
full_sentence,4182026002,3,1,0.4666666666666667,0.4266666666666667,0.5133333333333333,0.4506666666666666
full_sentence,4192026001,3,2,0.64,0.48,0.5733333333333334,0.5627777777777778
full_sentence,4192026002,3,0,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
full_sentence,2242025001,4,3,0.5066666666666667,0.5466666666666666,0.47333333333333333,0.5306666666666666
full_sentence,2262025001,4,2,0.5466666666666666,0.49333333333333335,0.5266666666666666,0.5232
full_sentence,3032025001,4,0,0.44,0.38666666666666666,0.52,0.41679999999999995
full_sentence,3032025002,4,0,0.49333333333333335,0.48,0.5066666666666667,0.4893333333333334
full_sentence,3062025001,4,2,0.5866666666666667,0.48,0.5466666666666666,0.5358333333333334
full_sentence,3062025002,4,2,0.26666666666666666,0.17333333333333334,0.5466666666666666,0.22320000000000004
full_sentence,3102025001,4,0,0.56,0.4533333333333333,0.5466666666666666,0.5091666666666667
full_sentence,3102025002,4,1,0.5466666666666666,0.4666666666666667,0.5333333333333333,0.5101449275362319
full_sentence,3132025001,4,3,0.44,0.49333333333333335,0.47333333333333333,0.47040000000000004
full_sentence,3132026002,4,0,0.44,0.4533333333333333,0.4866666666666667,0.4504
full_sentence,3172026001,4,0,0.38666666666666666,0.3466666666666667,0.5133333333333333,0.3694444444444444
full_sentence,3192026001,4,1,0.6133333333333333,0.5466666666666666,0.5333333333333333,0.5832
full_sentence,3202026001,4,2,0.49333333333333335,0.41333333333333333,0.54,0.45626666666666665
full_sentence,3202026002,4,2,0.52,0.4,0.56,0.46346666666666664
full_sentence,3292026001,4,3,0.5066666666666667,0.6133333333333333,0.44,0.5634782608695652
full_sentence,4032026001,4,0,0.44,0.49333333333333335,0.4666666666666667,0.4701333333333333
full_sentence,4042026001,4,0,0.52,0.44,0.5333333333333333,0.4848
full_sentence,4042026002,4,1,0.5066666666666667,0.4,0.5466666666666666,0.45653333333333335
full_sentence,4042026003,4,1,0.5066666666666667,0.5866666666666667,0.46,0.5493333333333333
full_sentence,4062026001,4,1,0.44,0.4666666666666667,0.4866666666666667,0.45626666666666665
full_sentence,4142026001,4,3,0.41333333333333333,0.36,0.52,0.3898666666666667
full_sentence,4142026002,4,2,0.5333333333333333,0.4533333333333333,0.5333333333333333,0.4957333333333333
full_sentence,4182026001,4,1,0.4266666666666667,0.37333333333333335,0.52,0.40347826086956523
full_sentence,4182026002,4,0,0.4666666666666667,0.4266666666666667,0.5133333333333333,0.4506666666666666
full_sentence,4192026001,4,1,0.64,0.48,0.5733333333333334,0.5627777777777778
full_sentence,4192026002,4,3,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
imagined_sentence,2242025001,2,0,0.6,0.5733333333333334,0.5133333333333333,0.5888
imagined_sentence,2262025001,2,1,0.48,0.4666666666666667,0.5,0.4781333333333333
imagined_sentence,3032025001,2,1,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
imagined_sentence,3032025002,2,0,0.3333333333333333,0.17333333333333334,0.5733333333333334,0.25666666666666665
imagined_sentence,3062025001,2,0,0.5466666666666666,0.52,0.5066666666666667,0.5370666666666667
imagined_sentence,3062025002,2,0,0.3333333333333333,0.36,0.48,0.3501333333333333
imagined_sentence,3102025001,2,1,0.3466666666666667,0.38666666666666666,0.48,0.3711111111111111
imagined_sentence,3102025002,2,1,0.49333333333333335,0.37333333333333335,0.56,0.4377777777777777
imagined_sentence,3132025001,2,0,0.5066666666666667,0.49333333333333335,0.5066666666666667,0.5034666666666666
imagined_sentence,3132026002,2,1,0.3333333333333333,0.36,0.48,0.3506666666666667
imagined_sentence,3172026001,2,0,0.37333333333333335,0.3466666666666667,0.5133333333333333,0.36293333333333333
imagined_sentence,3192026001,2,0,0.48,0.49333333333333335,0.49333333333333335,0.4904
imagined_sentence,3202026001,2,1,0.49333333333333335,0.49333333333333335,0.5,0.49600000000000005
imagined_sentence,3202026002,2,0,0.4,0.4666666666666667,0.46,0.43679999999999997
imagined_sentence,3292026001,2,1,0.49333333333333335,0.4533333333333333,0.52,0.4776
imagined_sentence,4032026001,2,1,0.37333333333333335,0.38666666666666666,0.49333333333333335,0.38266666666666665
imagined_sentence,4042026001,2,1,0.4266666666666667,0.5066666666666667,0.46,0.46959999999999996
imagined_sentence,4042026002,2,1,0.48,0.4533333333333333,0.5133333333333333,0.46853333333333336
imagined_sentence,4042026003,2,0,0.4533333333333333,0.6,0.42,0.5290666666666667
imagined_sentence,4062026001,2,1,0.5333333333333333,0.48,0.52,0.5095999999999999
imagined_sentence,4142026001,2,1,0.3333333333333333,0.29333333333333333,0.52,0.316
imagined_sentence,4142026002,2,1,0.5066666666666667,0.4,0.5533333333333333,0.4573333333333333
imagined_sentence,4182026001,2,1,0.44,0.5733333333333334,0.4266666666666667,0.51
imagined_sentence,4182026002,2,1,0.4666666666666667,0.56,0.4533333333333333,0.5178666666666667
imagined_sentence,4192026001,2,0,0.6266666666666667,0.5866666666666667,0.5133333333333333,0.6090666666666666
imagined_sentence,4192026002,2,1,0.64,0.5333333333333333,0.5466666666666666,0.5896
imagined_sentence,2242025001,3,0,0.6,0.5733333333333334,0.5133333333333333,0.5888
imagined_sentence,2262025001,3,2,0.48,0.4666666666666667,0.5,0.4781333333333333
imagined_sentence,3032025001,3,2,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
imagined_sentence,3032025002,3,0,0.3333333333333333,0.17333333333333334,0.5733333333333334,0.25666666666666665
imagined_sentence,3062025001,3,1,0.5466666666666666,0.52,0.5066666666666667,0.5370666666666667
imagined_sentence,3062025002,3,0,0.3333333333333333,0.36,0.48,0.3501333333333333
imagined_sentence,3102025001,3,1,0.3466666666666667,0.38666666666666666,0.48,0.3711111111111111
imagined_sentence,3102025002,3,2,0.49333333333333335,0.37333333333333335,0.56,0.4377777777777777
imagined_sentence,3132025001,3,0,0.5066666666666667,0.49333333333333335,0.5066666666666667,0.5034666666666666
imagined_sentence,3132026002,3,1,0.3333333333333333,0.36,0.48,0.3506666666666667
imagined_sentence,3172026001,3,0,0.37333333333333335,0.3466666666666667,0.5133333333333333,0.36293333333333333
imagined_sentence,3192026001,3,0,0.48,0.49333333333333335,0.49333333333333335,0.4904
imagined_sentence,3202026001,3,2,0.49333333333333335,0.49333333333333335,0.5,0.49600000000000005
imagined_sentence,3202026002,3,0,0.4,0.4666666666666667,0.46,0.43679999999999997
imagined_sentence,3292026001,3,2,0.49333333333333335,0.4533333333333333,0.52,0.4776
imagined_sentence,4032026001,3,2,0.37333333333333335,0.38666666666666666,0.49333333333333335,0.38266666666666665
imagined_sentence,4042026001,3,1,0.4266666666666667,0.5066666666666667,0.46,0.46959999999999996
imagined_sentence,4042026002,3,1,0.48,0.4533333333333333,0.5133333333333333,0.46853333333333336
imagined_sentence,4042026003,3,0,0.4533333333333333,0.6,0.42,0.5290666666666667
imagined_sentence,4062026001,3,2,0.5333333333333333,0.48,0.52,0.5095999999999999
imagined_sentence,4142026001,3,2,0.3333333333333333,0.29333333333333333,0.52,0.316
imagined_sentence,4142026002,3,2,0.5066666666666667,0.4,0.5533333333333333,0.4573333333333333
imagined_sentence,4182026001,3,1,0.44,0.5733333333333334,0.4266666666666667,0.51
imagined_sentence,4182026002,3,1,0.4666666666666667,0.56,0.4533333333333333,0.5178666666666667
imagined_sentence,4192026001,3,0,0.6266666666666667,0.5866666666666667,0.5133333333333333,0.6090666666666666
imagined_sentence,4192026002,3,2,0.64,0.5333333333333333,0.5466666666666666,0.5896
imagined_sentence,2242025001,4,1,0.6,0.5733333333333334,0.5133333333333333,0.5888
imagined_sentence,2262025001,4,2,0.48,0.4666666666666667,0.5,0.4781333333333333
imagined_sentence,3032025001,4,2,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
imagined_sentence,3032025002,4,1,0.3333333333333333,0.17333333333333334,0.5733333333333334,0.25666666666666665
imagined_sentence,3062025001,4,3,0.5466666666666666,0.52,0.5066666666666667,0.5370666666666667
imagined_sentence,3062025002,4,1,0.3333333333333333,0.36,0.48,0.3501333333333333
imagined_sentence,3102025001,4,3,0.3466666666666667,0.38666666666666666,0.48,0.3711111111111111
imagined_sentence,3102025002,4,0,0.49333333333333335,0.37333333333333335,0.56,0.4377777777777777
imagined_sentence,3132025001,4,1,0.5066666666666667,0.49333333333333335,0.5066666666666667,0.5034666666666666
imagined_sentence,3132026002,4,3,0.3333333333333333,0.36,0.48,0.3506666666666667
imagined_sentence,3172026001,4,1,0.37333333333333335,0.3466666666666667,0.5133333333333333,0.36293333333333333
imagined_sentence,3192026001,4,1,0.48,0.49333333333333335,0.49333333333333335,0.4904
imagined_sentence,3202026001,4,2,0.49333333333333335,0.49333333333333335,0.5,0.49600000000000005
imagined_sentence,3202026002,4,1,0.4,0.4666666666666667,0.46,0.43679999999999997
imagined_sentence,3292026001,4,2,0.49333333333333335,0.4533333333333333,0.52,0.4776
imagined_sentence,4032026001,4,0,0.37333333333333335,0.38666666666666666,0.49333333333333335,0.38266666666666665
imagined_sentence,4042026001,4,3,0.4266666666666667,0.5066666666666667,0.46,0.46959999999999996
imagined_sentence,4042026002,4,3,0.48,0.4533333333333333,0.5133333333333333,0.46853333333333336
imagined_sentence,4042026003,4,1,0.4533333333333333,0.6,0.42,0.5290666666666667
imagined_sentence,4062026001,4,2,0.5333333333333333,0.48,0.52,0.5095999999999999
imagined_sentence,4142026001,4,2,0.3333333333333333,0.29333333333333333,0.52,0.316
imagined_sentence,4142026002,4,0,0.5066666666666667,0.4,0.5533333333333333,0.4573333333333333
imagined_sentence,4182026001,4,3,0.44,0.5733333333333334,0.4266666666666667,0.51
imagined_sentence,4182026002,4,3,0.4666666666666667,0.56,0.4533333333333333,0.5178666666666667
imagined_sentence,4192026001,4,1,0.6266666666666667,0.5866666666666667,0.5133333333333333,0.6090666666666666
imagined_sentence,4192026002,4,2,0.64,0.5333333333333333,0.5466666666666666,0.5896
