stimulus_number,label,agglomerative_avg_k2,spectral_kmeans_k2,agglomerative_avg_k3,spectral_kmeans_k3,agglomerative_avg_k4,spectral_kmeans_k4,agglomerative_avg_k5,spectral_kmeans_k5
1038202,target,0,0,0,1,0,3,0,0
1055025,target,0,0,0,1,0,3,0,2
1084017,target,0,1,0,0,0,2,0,1
1152401,target,0,0,0,2,0,0,0,3
1154913,target,0,0,0,2,0,3,0,2
1204336,target,0,0,0,1,0,3,0,0
1303598,target,0,0,0,2,0,3,0,2
1325540,target,0,0,0,2,0,0,0,3
135747,target,0,1,0,0,0,3,0,2
1361028,target,0,1,0,1,0,1,0,0
1361457,target,0,1,0,0,0,2,0,1
137369,target,0,0,0,2,0,3,0,2
1377011,target,0,0,0,2,0,0,0,3
1430067,target,0,0,0,2,0,0,0,3
1474554,target,0,1,0,1,0,1,0,0
1500770,target,0,1,0,0,3,1,3,1
1512885,target,0,0,0,1,0,3,1,0
1556070,target,0,0,0,2,0,3,0,2
1558811,target,0,0,0,2,0,3,0,2
1585751,target,0,0,0,1,0,3,0,0
1604178,target,0,1,0,0,0,1,0,4
1619569,target,0,0,0,1,0,3,0,2
177749,target,0,0,0,1,0,3,0,2
1784932,target,0,0,0,2,0,0,0,3
1841210,target,0,1,0,1,0,3,0,0
1881701,target,0,1,0,0,0,2,1,1
19389,target,0,0,0,1,0,3,0,2
1950306,target,0,0,0,2,0,3,0,0
1976046,target,0,0,0,2,0,0,0,0
1989589,target,0,0,0,2,0,0,0,3
2065486,target,0,1,0,1,0,3,1,0
2070670,target,0,0,0,1,0,0,0,0
2209737,target,0,1,0,1,3,1,3,0
2216495,target,0,1,0,0,0,2,0,4
2241916,target,0,0,2,1,2,3,2,0
2253127,target,0,0,0,2,0,0,0,3
2265258,target,0,1,0,0,0,3,0,1
2276260,target,0,0,0,2,0,3,0,2
2354618,target,0,0,0,2,0,0,0,3
2363886,target,0,0,0,2,0,0,1,3
2433065,target,0,0,0,2,0,0,0,3
2455086,target,0,1,0,0,0,3,0,0
2474088,target,0,0,0,2,0,3,0,2
2487625,target,0,0,0,1,0,1,0,4
2490211,target,0,0,0,2,0,3,1,2
2501681,target,0,1,0,0,0,1,1,4
2514923,target,0,0,0,1,0,3,0,0
2530401,target,0,1,0,1,0,1,0,4
2534050,target,0,0,0,2,0,3,0,0
2649655,target,0,1,0,0,0,1,1,4
2654756,target,0,1,0,0,0,1,0,4
2669502,target,0,0,0,2,0,0,0,3
2675662,target,0,0,0,2,0,3,0,2
2690790,target,0,0,0,2,0,2,0,3
270720,target,0,1,0,0,0,2,0,1
314781,target,0,0,0,1,0,1,0,4
341881,target,0,0,0,2,0,0,1,3
389188,target,0,0,0,1,0,3,0,2
393679,target,0,0,0,1,0,3,0,2
422402,target,0,0,0,1,0,1,1,0
436049,target,0,1,0,0,0,2,1,1
469558,target,0,1,0,0,0,2,0,1
514473,target,0,1,0,0,3,2,3,0
578254,target,0,1,0,0,0,1,0,4
656999,target,0,0,0,2,0,3,0,0
681938,target,0,1,0,0,0,2,0,0
710781,target,0,1,0,0,0,2,0,4
724605,target,0,1,0,0,0,1,0,0
793673,target,0,0,0,2,0,0,0,3
80741,target,0,0,0,1,0,3,0,2
854858,target,0,0,0,2,0,0,0,3
914835,target,0,1,0,0,0,2,1,1
936885,target,0,0,0,1,0,3,0,2
953491,target,0,0,0,2,0,3,0,0
996037,target,0,0,0,1,0,3,0,2
1022427,target,0,1,0,1,0,1,0,4
1050074,target,0,1,0,1,0,1,1,4
1106952,target,0,0,0,1,0,1,0,4
1128380,target,0,1,0,0,0,2,0,4
1152436,target,0,0,0,2,0,3,0,0
116637,target,0,0,0,2,0,0,0,4
1182143,target,1,1,1,0,1,1,4,1
1192087,target,0,0,0,2,0,3,0,2
1225298,target,0,1,0,1,0,1,0,4
1300288,target,0,0,0,2,0,3,0,0
1359799,target,0,0,0,2,0,2,0,1
138781,target,0,1,0,1,0,1,0,4
1480814,target,0,1,0,0,0,2,1,1
150539,target,0,1,0,1,0,3,0,0
1535124,target,0,1,0,0,0,1,1,4
1555690,target,0,0,0,2,0,0,0,2
1588337,target,0,0,0,1,0,3,0,0
164296,target,0,0,0,2,0,0,0,3
1693893,target,0,0,0,2,0,2,0,2
1702273,target,0,0,0,2,0,3,0,2
1736013,target,0,1,0,0,0,2,1,1
173924,target,0,0,0,2,0,3,0,2
1746525,target,0,1,0,1,0,1,0,4
1760150,target,0,0,0,1,0,1,1,4
1793105,target,0,0,0,1,0,1,0,4
1806338,target,0,0,0,2,0,0,1,0
1848811,target,0,0,0,2,0,0,0,3
1882578,target,0,1,0,1,0,1,0,0
1883593,target,0,1,0,0,0,2,0,2
1905895,target,0,0,0,2,0,3,0,0
1916328,target,0,0,0,2,0,3,0,2
1929764,target,0,0,0,2,0,3,0,0
1946948,target,0,0,0,1,0,1,0,4
2025857,target,0,0,0,2,0,3,0,0
2029437,target,0,0,0,1,0,1,1,0
2030905,target,0,0,0,2,0,3,1,2
2035948,target,0,0,0,2,0,2,0,1
2066255,target,0,0,0,2,0,2,1,1
2107267,target,0,0,0,1,0,0,0,4
214879,target,0,1,0,1,0,1,0,4
2204421,target,0,0,0,2,0,0,0,2
2205405,target,0,0,0,1,0,3,0,2
2212503,target,0,0,0,2,0,3,0,2
2241357,target,0,0,0,2,0,3,0,2
2260363,target,0,0,0,2,0,2,0,3
2274164,target,0,0,0,2,0,0,0,3
2357409,target,0,0,0,1,0,3,0,2
2365445,target,0,1,0,0,0,2,1,1
237223,target,0,0,0,2,0,3,0,2
2375287,target,0,0,0,2,0,3,0,2
2417183,target,0,0,0,2,0,2,0,1
2522869,target,0,0,0,1,0,0,0,4
279298,target,0,0,0,1,0,3,0,0
307913,target,0,1,2,0,2,3,2,1
32605,target,0,1,0,0,0,2,0,1
338947,target,0,1,0,0,0,2,0,1
424719,target,0,1,0,0,0,2,1,1
435296,target,0,0,0,2,0,0,0,3
592916,target,0,0,0,2,0,3,0,0
594320,target,0,0,0,1,0,1,1,0
603509,target,0,0,0,2,0,0,0,3
616206,target,0,0,0,2,0,0,0,3
6207,target,0,0,0,2,0,2,1,1
685150,target,0,0,0,1,0,1,0,0
696985,target,0,1,0,1,0,1,0,4
732981,target,0,1,0,0,3,2,3,1
744480,target,0,0,0,2,0,2,0,1
754888,target,0,1,0,0,3,3,3,0
765496,target,0,1,0,0,0,2,0,2
776327,target,0,0,0,2,0,0,0,3
780158,target,0,0,0,2,0,3,0,2
785460,target,0,0,0,2,0,3,0,2
894078,target,0,0,0,2,0,3,0,2
955718,target,0,0,0,1,3,3,3,0
988974,target,0,0,0,2,0,3,0,2
1067883,distractor,0,0,0,2,0,2,0,1
1154680,distractor,0,1,0,0,0,0,0,4
1248677,distractor,0,0,0,1,0,3,0,2
1285990,distractor,0,1,0,0,0,2,1,1
1286055,distractor,0,0,0,2,0,2,0,3
1324224,distractor,0,1,0,0,0,2,0,1
1372543,distractor,0,0,0,2,0,0,0,3
144254,distractor,0,0,2,2,2,0,2,3
1455560,distractor,0,0,0,1,0,1,1,4
1531735,distractor,0,0,2,2,2,0,2,3
1559140,distractor,0,1,0,0,0,2,1,1
1560586,distractor,1,0,1,2,1,0,4,3
1617401,distractor,0,1,2,0,2,1,2,0
1633194,distractor,0,1,0,1,0,3,1,2
1667784,distractor,0,0,0,2,0,0,0,3
1673452,distractor,0,1,0,0,0,2,1,4
1673472,distractor,0,1,0,1,3,1,3,0
1708892,distractor,0,0,0,1,3,1,3,4
1717516,distractor,0,1,0,0,0,1,1,4
1755600,distractor,0,1,0,1,0,3,0,2
1782091,distractor,0,1,0,0,0,2,1,1
1789042,distractor,0,1,0,0,0,2,1,4
1797030,distractor,0,0,0,1,0,1,0,4
1832684,distractor,0,1,2,0,2,1,2,4
1845027,distractor,0,1,0,0,0,2,0,1
185130,distractor,0,0,0,2,0,0,0,3
1879648,distractor,0,1,2,0,2,2,2,2
1893147,distractor,1,0,1,2,1,2,4,1
1921945,distractor,0,1,0,0,0,2,1,1
1974580,distractor,0,1,0,0,0,1,0,4
1995467,distractor,0,1,0,0,0,2,0,1
2034167,distractor,1,1,1,0,1,2,4,1
2097875,distractor,0,0,0,1,0,3,0,0
2098961,distractor,1,0,1,2,1,3,4,2
2118128,distractor,0,0,0,2,3,0,3,3
2152103,distractor,0,1,0,0,0,2,0,4
2184351,distractor,0,0,0,2,0,0,0,3
2204030,distractor,0,0,0,2,0,0,0,3
2262329,distractor,0,1,0,0,3,2,3,1
2380621,distractor,0,1,0,0,0,1,0,4
2416540,distractor,0,1,0,0,3,2,3,1
2456914,distractor,0,1,0,0,0,3,1,1
2457843,distractor,0,1,0,1,0,1,0,0
2514716,distractor,0,1,0,0,0,2,0,1
254758,distractor,0,0,0,1,0,1,0,4
2557564,distractor,0,1,0,1,0,3,0,0
2578028,distractor,1,0,1,2,1,0,4,3
2594432,distractor,0,0,0,2,0,0,0,3
2634690,distractor,0,1,0,0,0,1,0,4
2645024,distractor,0,0,0,2,0,0,0,3
320025,distractor,0,1,0,0,0,1,0,4
323739,distractor,0,1,0,0,0,0,1,4
33624,distractor,0,1,0,0,0,2,0,1
351794,distractor,0,1,0,1,0,1,1,4
351826,distractor,0,0,0,1,3,0,3,0
364046,distractor,0,1,0,1,0,1,0,4
390337,distractor,0,1,2,1,2,1,2,4
417922,distractor,0,0,0,1,0,0,0,4
490292,distractor,0,0,0,2,0,0,0,3
499550,distractor,0,0,0,2,0,0,0,3
503104,distractor,0,1,0,1,0,1,0,4
552066,distractor,0,0,0,2,0,0,1,3
588063,distractor,0,0,0,2,0,0,0,3
633301,distractor,0,0,0,2,0,2,0,2
63332,distractor,1,1,1,0,1,2,4,1
690453,distractor,0,0,0,2,0,0,0,3
772560,distractor,0,1,0,0,0,1,1,4
837594,distractor,0,1,0,1,0,1,0,4
83820,distractor,0,1,0,0,0,2,0,1
847501,distractor,0,1,0,0,3,1,3,4
920816,distractor,0,1,2,0,2,2,2,3
930786,distractor,0,0,0,2,0,2,0,1
933016,distractor,0,1,2,0,2,1,2,4
966129,distractor,0,0,0,2,0,2,0,0
972144,distractor,0,1,0,0,0,1,0,4
1023966,distractor,0,0,0,1,0,3,0,2
1102783,distractor,0,1,0,0,3,1,3,0
1130295,distractor,1,0,1,2,1,0,4,3
1194259,distractor,0,1,0,0,0,2,0,1
1206056,distractor,0,1,0,0,0,2,1,1
1263190,distractor,0,0,0,2,0,0,0,3
1269675,distractor,1,1,1,0,1,2,4,1
1278798,distractor,0,1,0,0,0,0,0,3
1289865,distractor,0,1,0,0,0,2,1,0
1386370,distractor,0,1,0,1,3,1,3,0
1416385,distractor,0,1,2,0,2,1,2,4
1468650,distractor,0,1,0,0,0,2,1,1
1471313,distractor,0,1,0,1,0,1,0,0
1525213,distractor,0,0,0,2,0,3,0,0
1568904,distractor,0,0,2,2,2,0,2,3
1592129,distractor,0,1,0,0,0,2,1,4
1625672,distractor,0,1,0,0,0,2,0,1
1653861,distractor,0,1,0,1,0,1,1,4
1761229,distractor,0,1,0,0,0,2,0,2
1779454,distractor,0,0,0,2,0,2,1,0
1791871,distractor,0,0,0,1,0,3,0,0
1823357,distractor,0,1,0,0,0,1,1,1
1851855,distractor,0,0,0,2,0,0,0,3
201567,distractor,1,1,1,0,1,2,4,1
2081813,distractor,0,1,0,1,0,3,1,0
2100075,distractor,0,1,0,0,0,2,0,3
2115323,distractor,0,1,0,0,0,2,0,1
212146,distractor,1,1,1,0,1,2,4,1
2209754,distractor,0,1,0,0,3,2,3,1
2233970,distractor,0,1,0,0,3,2,3,1
2248228,distractor,0,0,0,1,0,3,0,2
2273177,distractor,1,0,1,1,1,3,4,2
230438,distractor,1,1,1,0,1,2,4,1
2304969,distractor,0,1,0,0,0,1,1,4
2306490,distractor,0,1,0,0,0,1,0,1
2318346,distractor,0,1,0,0,0,1,1,4
2389297,distractor,0,1,0,0,0,2,1,1
2442361,distractor,0,1,0,0,3,3,3,1
2455734,distractor,0,0,0,2,0,0,1,3
2485538,distractor,0,1,0,0,0,2,0,1
2514632,distractor,0,1,0,0,0,2,0,1
2519736,distractor,0,1,0,0,0,2,1,1
2536695,distractor,0,0,0,2,0,2,0,1
2540015,distractor,0,0,2,2,2,0,2,3
2583835,distractor,0,0,0,2,0,3,0,2
2608377,distractor,0,1,0,0,0,2,1,1
2685736,distractor,0,1,2,0,2,3,2,1
290031,distractor,0,0,0,2,0,3,0,2
291265,distractor,0,1,0,0,0,1,1,4
334176,distractor,0,1,0,0,0,2,0,1
383122,distractor,0,1,0,0,0,2,0,1
458777,distractor,0,0,0,2,0,0,0,3
476253,distractor,0,0,0,2,0,0,1,3
524535,distractor,0,1,0,0,0,1,0,0
52957,distractor,0,1,0,0,0,2,1,1
537598,distractor,0,0,0,2,0,0,0,3
550864,distractor,0,1,0,0,0,1,1,4
606192,distractor,0,1,0,0,0,2,0,1
612648,distractor,0,1,0,0,0,2,0,1
627157,distractor,0,1,0,0,0,2,1,1
66635,distractor,0,1,0,0,0,0,1,4
708386,distractor,0,0,0,1,0,3,0,0
715678,distractor,0,0,0,2,0,3,0,0
74527,distractor,0,1,0,0,0,2,1,4
746920,distractor,0,1,0,0,0,2,0,1
770646,distractor,0,0,0,2,0,3,0,2
805150,distractor,0,1,0,0,0,2,0,1
813995,distractor,0,0,2,2,2,3,2,1
823780,distractor,0,1,0,0,0,2,1,1
832705,distractor,0,1,0,0,3,2,3,1
83647,distractor,0,1,0,0,0,2,0,4
846716,distractor,0,0,0,2,0,3,0,2
852895,distractor,0,0,0,2,0,0,0,3
876536,distractor,0,1,0,0,0,2,0,1
888164,distractor,0,1,0,1,0,1,0,4
