stimulus_number,r_score,mean_r_to_others,y_pred,residual
1556070,0.0942698344588279,0.006224735681300518,0.006282091513578882,-5.735583227836367e-05
2030905,0.0927642583847045,0.005840364830587584,0.006230660105106361,-0.0003902952745187772
2070670,0.0924653932452201,0.0051442293390740555,0.0062204506873750325,-0.001076221348300977
1535124,0.0894588083028793,0.007831815440842183,0.006117743889004254,0.0017140715518379288
2204421,0.0891602933406829,0.006863691355102169,0.006107546433545338,0.0007561449215568311
1303598,0.0861368998885154,0.007709976010502709,0.00600426544609865,0.0017057105644040591
2241916,0.0855035707354545,0.0031945219647724447,0.00598263053111264,-0.0027881085663401953
173924,0.0852311477065086,0.007193120433145773,0.005973324392206842,0.0012197960409389306
1377011,0.0848953276872634,0.00572431477706716,0.005961852572961106,-0.0002375377958939457
116637,0.0837493538856506,0.007060781477053021,0.005922705400192786,0.0011380760768602343
2363886,0.0834676772356033,0.005582035163751421,0.005913083151875519,-0.0003310479881240974
914835,0.0831763222813606,0.005446674114333062,0.005903130286710021,-0.00045645617237695824
2417183,0.0830207541584968,0.006666617909776599,0.005897815983560662,0.0007688019262159368
955718,0.082951970398426,0.0050395452578913535,0.005895466287838687,-0.0008559210299473336
696985,0.0815733671188354,0.006780507674621169,0.005848372348440464,0.0009321353261807046
2514923,0.0814768001437187,0.006861358092008509,0.005845073560934775,0.0010162845310737337
2029437,0.0813588872551918,0.005382088537113641,0.005841045583844655,-0.0004589570467310143
2276260,0.0809814780950546,0.004279778299520613,0.005828153053862343,-0.0015483747543417305
785460,0.0806186646223068,0.005966756459748293,0.005815759121574936,0.0001509973381733573
2035948,0.0804626271128654,0.0060336232109929385,0.005810428783890214,0.0002231944271027242
732981,0.0802231803536415,0.003705021113776446,0.005802249134722878,-0.0020972280209464317
19389,0.0799410492181778,0.004016769005676616,0.0057926113609031125,-0.0017758423552264964
1881701,0.0796229392290115,0.003909595421201791,0.005781744527221841,-0.0018721491060200495
338947,0.0790712907910347,0.006468483780449531,0.005762899875905678,0.0007055839045438531
1204336,0.0786877498030662,0.005122890380630051,0.00574979787889789,-0.0006269074982678396
1702273,0.0785914957523346,0.006288712551817258,0.005746509781082445,0.0005422027707348131
1152401,0.0783548727631568,0.00804481787339826,0.005738426593643724,0.002306391279754535
1500770,0.0777642279863357,0.004823833251654031,0.005718249803310141,-0.00089441655165611
1022427,0.0773827955126762,0.007839507562517209,0.005705219834453278,0.0021342877280639307
2675662,0.0771070942282676,0.0041136882660090576,0.0056958017083163625,-0.001582113442307305
2354618,0.0769063085317611,0.004326784643056405,0.005688942744926899,-0.0013621581018704934
1916328,0.076814591884613,0.007514487200848334,0.005685809647619975,0.0018286775532283589
1225298,0.0766312777996063,0.00615352804674649,0.0056795475252690766,0.00047398052147741305
894078,0.0765897035598754,0.004981540098782024,0.005678127323565367,-0.0006965872247833432
2365445,0.0764548182487487,0.004430231408145239,0.005673519558037783,-0.001243288149892544
2216495,0.0762607231736183,0.005456555096334413,0.005666889150406373,-0.00021033405407195997
2433065,0.0759425014257431,0.0047273690002660965,0.005656018498978588,-0.0009286494987124916
150539,0.0759424418210983,0.009208125600985311,0.005656016462847112,0.003552109138138199
514473,0.0758942887187004,0.005978412695890139,0.0056543715231318695,0.00032404117275826923
1760150,0.0758485347032547,0.005457583712038176,0.005652808537708488,-0.00019522482567031155
1746525,0.0758475065231323,0.006266802177955779,0.005652773414440546,0.0006140287635152328
307913,0.0756560415029525,0.004430724715841189,0.00564623285111046,-0.0012155081352692712
2649655,0.0752369537949562,0.004331331104837051,0.005631916556194362,-0.0013005854513573108
1619569,0.0752095431089401,0.007666655578724207,0.005630980190232365,0.002035675388491842
2474088,0.0751778930425643,0.007021548519498427,0.005629899004419218,0.0013916495150792085
854858,0.0751737207174301,0.007611884269350222,0.005629756475215982,0.0019821277941342403
389188,0.0751158595085144,0.005183165352321115,0.005627779900586773,-0.000444614548265658
1182143,0.0750392079353332,0.0022075406566781797,0.005625161435510114,-0.0034176207788319344
1512885,0.0749863311648368,0.005714603970807633,0.005623355132375487,9.124883843214526e-05
1325540,0.0748486593365669,0.006143153042402986,0.005618652177701456,0.0005245008647015298
80741,0.0748065039515495,0.007910852266079826,0.005617212123715869,0.002293640142363957
1806338,0.0746368169784545,0.004219784105422408,0.005611415511923406,-0.0013916314065009986
138781,0.0743864476680755,0.005944927651533362,0.005602862741663302,0.00034206490987005993
2487625,0.0743585973978042,0.0033448346916495507,0.005601911359231679,-0.0022570766675821287
2534050,0.0743560865521431,0.004833338962283046,0.005601825587193304,-0.0007684866249102577
578254,0.0743019357323646,0.004793745869271731,0.0055999757617484006,-0.0008062298924766693
1555690,0.0742774754762649,0.005314908518761447,0.0055991401842944094,-0.0002842316655329623
744480,0.0741706416010856,0.0073162699879915265,0.0055954906731421755,0.001720779314849351
2654756,0.0741545781493187,0.003795515528082257,0.005594941935709707,-0.0017994264076274498
314781,0.0737608447670936,0.004588775334412198,0.00558149176021972,-0.0009927164258075214
1736013,0.0737009271979332,0.005116074619318678,0.005579444939054629,-0.00046337031973595066
592916,0.0736427307128906,0.004412550330084519,0.005577456911185872,-0.001164906581101353
1883593,0.073530338704586,0.006186872950601782,0.005573617530773609,0.0006132554198281723
1430067,0.0734785422682762,0.006591058444945474,0.005571848132521966,0.0010192103124235076
135747,0.0734634697437286,0.006189916957104523,0.0055713332457752625,0.0006185837113292609
1038202,0.0734268873929977,0.0072400721604698156,0.005570083570082573,0.0016699885903872424
2522869,0.0734153687953949,0.008231407561051979,0.00556969008767506,0.0026617174733769185
1128380,0.073407158255577,0.006105403387892769,0.005569409610564397,0.000535993777328372
435296,0.073391854763031,0.007633545542654314,0.005568886833808233,0.0020646587088460813
1152436,0.0733034238219261,0.006180807320063546,0.005565865978248858,0.0006149413418146876
270720,0.0732781514525413,0.005274174513888099,0.005565002658503521,-0.000290828144615422
2357409,0.0732773840427398,0.0073589038368907815,0.005564976443310782,0.0017939273935799992
1946948,0.0731722712516784,0.007778781291693298,0.005561385725454886,0.0022173955662384125
2253127,0.0731705203652381,0.005755204616807119,0.005561325914092811,0.00019387870271430838
616206,0.0731658264994621,0.0067124719990347016,0.0055611655687391685,0.001151306430295533
1976046,0.0729962214827537,0.004143194512569957,0.0055553717566274845,-0.0014121772440575274
164296,0.072929061949253,0.007268593318024817,0.005553077545488197,0.0017155157725366197
953491,0.0728413537144661,0.004915407195915878,0.0055500813780229585,-0.0006346741821070803
1359799,0.0728188455104827,0.003379892002224433,0.0055493124838747665,-0.0021694204816503334
996037,0.0728053674101829,0.006982038627837809,0.005548852063645017,0.0014331865641927918
765496,0.0727888941764831,0.005742448098436845,0.005548289327808655,0.00019415877062819043
177749,0.072768285870552,0.0027635064741691816,0.005547585335351226,-0.0027840788611820442
436049,0.0727560445666313,0.004996611924459942,0.005547167164849581,-0.0005505552403896382
137369,0.0727019160985946,0.004303148141671038,0.005545318102953981,-0.0012421699612829426
422402,0.072694256901741,0.008044837129381035,0.005545056460059464,0.0024997806693215704
6207,0.072645217180252,0.0035429833895504587,0.005543381232888531,-0.0020003978433380727
469558,0.0726171433925628,0.004325558499042838,0.0055424222149638765,-0.001216863715921039
1084017,0.0725786909461021,0.004104727106091835,0.005541108655646165,-0.0014363815495543305
1848811,0.0724739655852317,0.005059400371719996,0.005537531172644854,-0.0004781308009248579
424719,0.0724734365940094,0.007672308594262798,0.005537513101978017,0.0021347954922847807
1106952,0.0723568871617317,0.005134538119597181,0.005533531701395384,-0.00039899358179820276
2690790,0.0722360834479332,0.006488086418672792,0.005529404971928734,0.0009586814467440587
1474554,0.0720016732811927,0.003755236825276172,0.005521397375871017,-0.0017661605505948454
2501681,0.0719847753643989,0.006250396355609484,0.005520820132597899,0.0007295762230115849
2065486,0.0718830078840255,0.004641321343321611,0.0055173436926210274,-0.0008760223492994164
776327,0.0718338415026664,0.005823405527353231,0.005515664138670711,0.0003077413886825196
279298,0.071789413690567,0.00541485535543261,0.005514146457172647,-9.929110174003702e-05
2066255,0.0717657059431076,0.004416405123242034,0.005513336585878527,-0.0010969314626364931
1588337,0.0717033669352531,0.006467290426085132,0.005511207046872267,0.000956083379212865
2025857,0.0716329962015152,0.005047923976101753,0.005508803139149775,-0.00046087916304802124
2241357,0.0715778842568397,0.006035259337706208,0.005506920481084841,0.0005283388566213673
656999,0.0715305879712104,0.0054285661549863555,0.005505304810759546,-7.673865577319076e-05
341881,0.0714935660362243,0.0036238399023292606,0.005504040118597231,-0.0018802002162679704
1693893,0.0714795738458633,0.005754409741824654,0.005503562136733512,0.00025084760509114234
1585751,0.0714575201272964,0.003064276908659745,0.005502808768087817,-0.002438531859428072
754888,0.0714431032538414,0.006002079312249114,0.005502316278787339,0.0004997630334617753
1361028,0.0714312717318534,0.00328870354993035,0.0055019121066895785,-0.0022132085567592285
1361457,0.0713959112763404,0.005582786975780602,0.005500704171692124,8.208280408847791e-05
214879,0.0713700205087661,0.007589252193177087,0.005499819727082737,0.0020894324660943493
2274164,0.071320079267025,0.004103693521769192,0.005498113703423251,-0.0013944201816540585
2375287,0.071264773607254,0.005327818070687181,0.005496224427931023,-0.00016840635724384243
1882578,0.0712457746267318,0.0015370612039524768,0.005495575411023414,-0.0039585142070709374
936885,0.0712048634886741,0.0033704712915424346,0.005494177861282364,-0.0021237065697399297
988974,0.0711853355169296,0.008363409996981538,0.005493510773707918,0.0028698992232736196
1841210,0.0711730793118476,0.005163364953594197,0.005493092094173401,-0.0003297271405792038
1055025,0.0711266547441482,0.00666082180644335,0.005491506202270928,0.0011693156041724228
603509,0.0711117163300514,0.004817965089056549,0.0054909958968200456,-0.0006730308077634965
1154913,0.0710639208555221,0.00652337687318522,0.005489363173893649,0.0010340136992915711
1192087,0.0710573494434356,0.005167988551345105,0.005489138690398547,-0.0003211501390534416
2530401,0.071030206978321,0.004777618499169467,0.005488211487028187,-0.0007105929878587196
1300288,0.0710252001881599,0.00686568181748999,0.0054880404519843,0.0013776413655056897
793673,0.0710099637508392,0.0039732680312610305,0.005487519965876043,-0.0015142519346150124
2260363,0.070967212319374,0.00440101926101359,0.005486059550575705,-0.0010850402895621154
1480814,0.070951409637928,0.006024492896155745,0.005485519721218439,0.0005389731749373067
1929764,0.0709372758865356,0.0060280798377779395,0.0054850369035424635,0.000543042934235476
2669502,0.0709343552589416,0.007132694994106934,0.005484937133100196,0.0016477578610067378
1793105,0.0709325224161148,0.006740753908592877,0.005484874522057346,0.0012558793865355307
2265258,0.070921741425991,0.005435373638741228,0.005484506236776831,-4.913259803560315e-05
2205405,0.0709176436066627,0.00603070402719482,0.005484366252737935,0.0005463377744568849
1558811,0.0708924755454063,0.0076597223950187945,0.00548350649622268,0.0021762158987961144
710781,0.0708626359701156,0.006523586565665216,0.005482487157903083,0.0010410994077621324
1784932,0.0708374828100204,0.005727939057446828,0.005481627910420697,0.0002463111470261308
1050074,0.0707895904779434,0.003258296552040875,0.005479991878780658,-0.0022216953267397825
1905895,0.0706826895475387,0.006638896296477378,0.005476340076980514,0.0011625562194968646
1989589,0.0705960169434547,0.005669925999877068,0.005473379287299649,0.0001965467125774195
1950306,0.0705738216638565,0.0074906448919694465,0.005472621082841703,0.002018023809127744
2212503,0.070531390607357,0.005023903026321038,0.005471171611748044,-0.00044726858542700615
724605,0.0705155283212661,0.00588128848249809,0.005470629746259299,0.00041065873623879166
780158,0.070480965077877,0.004377880566270156,0.005469449044520321,-0.0010915684782501645
1604178,0.0703924894332885,0.00647987380101772,0.005466426661862341,0.0010134471391553788
685150,0.0703596994280815,0.005476055301222063,0.005465306535034741,1.0748766187322449e-05
2490211,0.0703465640544891,0.006679960554719795,0.005464857822560971,0.001215102732158824
32605,0.0703125894069671,0.004347676442345791,0.005463697227620305,-0.0011160207852745144
2455086,0.0702902972698211,0.005777543824558536,0.0054629357144487115,0.0003146081101098241
681938,0.0702606067061424,0.003336067078120282,0.005461921466457804,-0.002125854388337522
594320,0.0702521577477455,0.006131056118098117,0.005461632844821244,0.0006694232732768731
237223,0.0702433884143829,0.006248948986677463,0.005461333278978006,0.0007876157076994565
2209737,0.0702066421508789,0.005087629520476174,0.0054600780039237625,-0.00037244848344758844
393679,0.0701612010598182,0.007199684664157909,0.005458525708190623,0.0017411589559672858
2107267,0.070152923464775,0.002665865423120572,0.005458242940432052,-0.00279237751731148
